I
1050 Generated by WorldEditor

1     18 1 0 MYCA Arthurs Town
100 45.72 1 0 0.25 0 0 0 12  24.63291882 -075.68367901    0    0 2 0 0 0 30  24.62595841 -075.66406837    0    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 2
111  24.62834222 -075.67439162
111  24.62826165 -075.67443754
111  24.62819788 -075.67431000
113  24.62828251 -075.67426473
110 1 0.00 0.0000 Ramp
111  24.62931947 -075.67415993
111  24.62917426 -075.67421642
111  24.62935467 -075.67469771
111  24.62859392 -075.67505000
111  24.62811828 -075.67371664
111  24.62891511 -075.67334827
111  24.62910100 -075.67401435
113  24.62924724 -075.67394669
130 Airport Boundary
111  24.62666000 -075.67204380
111  24.62886312 -075.67674098
111  24.63264679 -075.68433762
111  24.63340799 -075.68399362
111  24.62571176 -075.66239820
113  24.62495468 -075.66329147
1300  24.62876141 -075.67351619 291.80 tie_down props GA 06
1301 A general_aviation 
1300  24.62856049 -075.67359137 289.50 tie_down props GA 05
1301 A general_aviation 
1300  24.62838007 -075.67368760 291.90 tie_down props GA 04
1301 A general_aviation 
1300  24.62918237 -075.67467093 111.93 tie_down props GA 03
1301 A general_aviation 
1300  24.62898693 -075.67477618 110.61 tie_down props GA 02
1301 A general_aviation 
1300  24.62879968 -075.67487541 109.55 tie_down props GA 01
1301 A general_aviation 
1300  24.62859604 -075.67443317 348.69 gate turboprops|props GATE 02
1301 B airline 
1300  24.62844912 -075.67406955 345.96 gate turboprops|props GATE 01
1301 B airline 
18  24.62770651 -075.67214731 1 New Airport Beacon 13
19  24.63361349 -075.68373098 1 WS
19  24.62521949 -075.66379714 1 WS
51 12280 UNICOM
99
